Oil Rate Cum,sed18ss_csv,seh5n_csv,sef19n_csv,sda5n_csv,sec10ls_csv,sec1n_csv,sec24_csv,sec34ls_csv,sed24ls_csv,sec7_csv,sec20_csv,sed3ls_csv,raa4ss_csv,seh8n_csv,sec4_csv,sed7n_csv,seb7ls_csv,seh3st3n_csv,seb31_csv,sed24ss_csv,sec34ss_csv,raa4_csv,raa1_csv,raa3_csv,sed21ls_csv,sef12n_csv,raa2_csv,sed2ls_csv,seg25st_csv,see8n_csv,see5ls_csv,sed12ls_csv,sec32n_csv,see15ss_csv,sda3ss_csv,raa9_csv,raa8_csv,sed14ls_csv,sed10ss_csv,sec11_csv,sec38_csv,sea2_csv,sed28ls_csv,seg3st_csv,seb6st1ls_csv,sed8ss_csv,sed31ls_csv,sed9ls_csv,seh6n_csv,sef9n_csv,seb8_csv
12706.36,0,331.82,402.41,0,358.89,0,394.03,0,216.63,280.47,314.67,0,0,306.86,545.16,458.84,223.86,37.98,423.17,303.7,168.48,0,0,0,428.81,0,0,0,315.1,709.15,309.39,0,0,369.32,0,0,0,317.81,678.9,980.62,247.82,694.09,0,422,244.24,0,535.63,583.81,292.52,810.18,0
12765.71,659.54,308.7,374.38,0,0,0,339.65,0,201.54,0,290.39,0,0,296.64,0,426.88,190.91,36.46,393.69,0,0,1052.67,561.95,69.42,505.98,0,891.88,0,289.96,659.75,190.42,0,0,0,276.41,192.28,43.69,301.65,631.61,875.34,194.7,0,0,401.26,0,0,498.32,543.15,211.06,794.6,60.83
12821.6,0,482.84,395.98,0,0,0,0,0,0,0,0,0,809.47,368.46,0,0,369.17,85.56,460.74,0,0,0,1609.57,89.13,0,0,1485.34,0,400.18,588.3,360.4,0,0,1008.42,288.22,245.63,44.99,0,0,0,0,901.92,0,650.05,356.75,0,0,0,283.77,1536.71,0
12879.35,0,151.74,384.06,0,0,0,348.43,0,206.75,0,260.66,0,0,304.3,0,437.92,195.84,37.41,403.87,0,0,1079.88,576.47,71.21,519.06,0,914.93,0,297.46,676.81,195.34,0,0,0,283.56,197.25,44.82,309.45,647.94,897.97,199.73,662.43,0,411.63,0,0,511.2,557.18,216.51,815.14,62.4
12880.66,0,335.85,407.3,0,0,0,0,0,219.26,0,0,0,0,322.72,0,464.41,226.57,39.67,428.31,307.38,0,1145.23,611.35,75.52,434.02,0,545.79,0,315.46,717.76,313.14,177.93,0,167.43,300.72,207.84,47.53,328.17,687.14,0,0,702.51,335.62,436.54,247.2,0,542.13,590.9,229.61,903.47,66.18
12883.52,0,339.62,411.88,0,0,0,31.14,0,221.72,0,26.84,0,0,326.34,0,469.64,229.12,40.12,433.12,288.17,0,1158.1,618.23,76.37,438.9,0,981.2,0,319,725.83,316.66,0,0,378.01,304.1,210.18,0,331.86,694.87,83.64,30.74,710.41,0,266.71,62.49,0,548.23,597.54,232.19,913.63,66.92
12933.82,0,343.53,416.61,0,0,0,377.97,0,224.27,0,302.02,0,0,330.1,0,475.04,231.76,40.58,438.1,0,164.74,0,625.33,77.25,443.94,0,992.48,0,322.67,734.18,320.31,0,0,119.49,307.59,212.59,29.37,335.68,702.86,1015.23,373.18,591.33,0,0,0,0,554.53,604.41,234.86,924.13,67.69
13001.85,0,334.22,405.32,0,0,0,367.72,0,218.2,0,209.59,0,0,321.15,0,462.16,206.68,39.48,426.23,0,0,1139.67,608.39,75.16,547.79,0,965.58,0,313.92,714.28,206.15,0,0,0,299.26,208.17,47.3,326.58,683.81,947.68,210.79,0,0,434.42,0,0,539.5,588.03,228.5,860.26,65.86
13167.09,0,293.08,355.43,0,112.27,0,211.62,0,191.34,67.82,277.94,0,0,281.62,190.31,405.28,197.72,34.62,373.77,212.36,355.5,999.4,533.51,65.91,378.75,0,846.74,0,275.29,626.37,180.78,0,0,0,262.43,182.55,33.7,286.39,599.65,854.79,316.88,613.06,0,380.95,193.25,0,473.1,515.66,200.38,754.39,32.48
13234.69,368.1,32.31,271.05,0,241.74,0,284.43,0,168.77,190.97,210.24,0,0,31.05,424.07,357.47,159.87,3.82,329.68,204.56,0,881.51,470.57,58.13,282.47,0,746.86,0,242.81,552.48,159.45,0,0,0,231.47,161.02,36.58,367.42,528.91,733.01,163.04,1802.47,0,336.01,311.9,0,417.29,734.73,22.09,665.4,50.94
